availability_id,availability_30,availability_60,availability_90,availability_365
1,27,53,82,352
2,29,45,75,350
3,18,43,73,348
4,3,17,30,87
5,0,0,0,0
6,4,17,32,32
7,6,21,42,42
8,22,52,82,357
9,29,59,89,364
10,10,23,45,306
11,0,6,20,106
12,3,19,36,249
13,20,46,76,351
14,7,16,40,67
15,0,0,0,0
16,17,41,41,41
17,25,55,85,85
18,27,45,70,338
19,0,0,0,0
20,29,59,89,360
21,24,48,75,75
22,29,55,82,357
23,0,0,0,0
24,29,59,89,89
25,6,11,18,235
26,10,22,48,170
27,17,47,74,349
28,0,22,52,327
29,25,25,28,28
30,0,0,0,0
31,20,41,51,308
32,26,56,86,361
33,30,60,90,365
34,27,27,27,27
35,2,4,16,16
36,9,38,38,266
37,0,0,0,0
38,0,0,0,213
39,15,32,44,44
40,7,11,18,72
41,26,26,26,26
42,8,38,38,161
43,0,6,16,226
44,3,8,14,161
45,29,59,86,361
46,0,0,0,0
47,0,8,38,38
48,27,57,87,87
49,30,56,70,313
50,0,6,36,311
51,25,55,78,168
52,24,54,84,359
53,0,0,0,149
54,28,43,58,148
55,0,27,57,139
56,23,53,83,83
57,30,60,90,365
58,29,59,89,364
59,23,52,82,82
60,0,0,0,22
61,24,32,32,289
62,19,39,69,306
63,0,0,0,0
64,14,24,29,250
65,0,0,0,0
66,15,37,65,70
67,30,60,90,365
68,28,58,88,363
69,4,4,4,4
70,23,49,73,73
71,19,35,52,208
72,0,0,0,0
73,28,58,88,363
74,29,59,89,363
75,1,30,59,334
76,28,58,88,363
77,4,18,48,48
78,15,33,49,297
79,0,0,0,0
80,22,52,82,82
81,24,48,73,78
82,3,3,18,18
83,24,48,72,347
84,5,5,7,282
85,0,0,0,183
86,27,57,87,87
87,3,33,63,153
88,23,53,83,83
89,0,29,59,334
90,0,0,0,51
91,3,8,8,8
92,17,26,37,114
93,1,31,61,336
94,30,60,90,365
95,6,30,60,335
96,20,50,80,355
97,25,55,78,78
98,23,53,81,356
99,4,17,34,116
100,30,60,90,90
101,30,60,90,365
102,30,60,90,365
103,29,59,81,349
104,30,60,90,365
105,30,60,90,365
106,21,51,81,356
107,0,0,0,0
108,27,57,87,362
109,30,60,90,365
110,7,21,45,191
111,1,24,54,144
112,0,0,0,0
113,1,1,29,304
114,30,60,90,365
115,27,57,87,362
116,28,58,88,327
117,0,0,0,0
118,30,60,90,365
119,30,60,90,365
120,29,59,89,179
121,30,60,90,365
122,30,60,90,99
123,30,60,90,365
124,30,60,90,365
125,28,54,84,359
126,15,33,56,56
127,4,11,41,316
128,30,60,90,180
129,18,34,48,193
130,30,60,90,365
131,30,60,90,365
132,0,0,0,0
133,30,60,90,365
134,30,60,90,365
135,17,34,56,323
136,28,58,88,88
137,11,37,67,342
138,16,46,76,76
139,30,60,90,180
140,0,0,0,0
141,0,21,21,21
142,30,60,90,365
143,0,0,29,29
144,26,56,86,176
145,24,54,84,359
146,25,55,85,360
147,6,36,66,341
148,4,30,60,60
149,30,60,90,365
150,24,52,82,357
151,25,55,85,360
152,7,18,35,295
153,27,57,87,362
154,27,57,87,362
155,30,60,90,365
156,18,48,78,78
157,30,60,90,365
158,30,60,90,365
159,30,60,90,365
160,30,60,90,365
161,30,60,90,365
162,30,60,90,365
163,30,60,90,365
164,25,55,85,331
165,30,59,59,333
166,30,60,90,365
167,30,60,90,365
168,4,14,25,101
169,30,60,90,365
170,7,31,61,61
171,0,0,0,0
172,30,60,90,365
173,30,60,90,365
174,0,0,0,0
175,27,57,87,362
176,10,40,70,101
177,21,28,28,302
178,5,34,64,339
179,17,37,50,76
180,30,60,90,365
181,0,0,0,63
182,30,60,90,365
183,30,60,90,365
184,22,52,82,357
185,18,48,78,168
186,2,8,12,62
187,27,57,87,240
188,2,2,2,149
189,30,60,90,365
190,21,44,74,349
191,0,0,0,0
192,30,60,90,365
193,0,29,59,214
194,30,60,90,365
195,26,56,86,176
196,0,0,0,0
197,30,60,90,365
198,0,22,52,142
199,16,46,76,166
200,0,0,0,0
201,13,13,13,13
202,30,60,90,365
203,30,60,90,365
204,0,0,0,0
205,30,60,90,365
206,23,33,57,274
207,29,59,89,89
208,0,0,0,63
209,22,52,79,354
210,21,51,81,356
211,30,60,90,180
212,27,31,61,336
213,30,60,90,365
214,30,60,90,365
215,5,6,8,257
216,30,60,90,90
217,13,40,60,307
218,15,45,75,75
219,2,32,62,337
220,27,51,81,356
221,0,30,60,335
222,4,34,64,339
223,0,28,58,333
224,26,56,86,86
225,27,57,87,362
226,20,50,80,355
227,9,14,21,285
228,12,16,16,251
229,24,54,84,174
230,24,54,84,359
231,21,48,78,229
232,3,3,3,3
233,29,59,89,179
234,25,46,76,166
235,12,12,36,36
236,30,60,90,365
237,21,51,81,171
238,27,54,79,354
239,30,60,90,365
240,1,31,61,336
241,0,18,48,267
242,29,59,89,179
243,0,8,36,311
244,29,59,89,364
245,0,2,5,5
246,9,25,34,291
247,7,9,32,183
248,1,6,6,128
249,30,60,90,365
250,0,0,0,0
251,24,54,84,174
252,0,0,0,0
253,20,20,20,20
254,24,54,79,347
255,24,54,84,359
256,26,56,86,361
257,0,25,55,330
258,4,4,25,66
259,5,17,17,282
260,26,56,86,361
261,0,0,0,265
262,0,0,0,0
263,3,3,14,20
264,1,5,5,5
265,4,23,50,50
266,8,17,31,112
267,0,2,10,230
268,3,3,4,279
269,23,50,80,355
270,29,59,89,364
271,0,0,0,0
272,23,53,83,354
273,30,60,90,365
274,30,60,90,365
275,30,60,90,365
276,15,42,68,343
277,10,37,67,342
278,24,54,77,318
279,7,7,11,286
280,3,33,63,300
281,10,17,42,316
282,7,18,35,286
283,26,26,26,26
284,2,10,10,248
285,27,57,87,87
286,0,0,0,0
287,0,0,11,11
288,0,0,0,0
289,13,23,23,141
290,3,5,30,30
291,0,0,9,9
292,0,0,0,94
293,7,34,64,339
294,14,42,70,345
295,0,0,0,0
296,13,43,73,154
297,0,0,0,0
298,6,6,15,15
299,4,20,44,310
300,0,0,0,91
301,18,48,78,350
302,1,29,31,31
303,1,31,61,309
304,21,51,81,356
305,22,36,66,341
306,1,4,4,262
307,26,56,86,361
308,23,53,83,358
309,29,59,89,179
310,0,0,0,122
311,19,27,37,312
312,1,1,30,30
313,26,56,86,176
314,10,17,42,315
315,10,40,70,345
316,17,41,71,346
317,22,23,53,53
318,13,41,64,339
319,27,57,87,362
320,30,60,90,180
321,0,5,5,142
322,5,35,65,340
323,30,60,90,365
324,30,60,90,365
325,0,15,35,35
326,30,60,90,180
327,21,51,81,356
328,20,48,78,78
329,0,6,21,296
330,3,3,12,12
331,7,29,54,322
332,0,0,29,119
333,0,0,12,137
334,13,41,71,346
335,8,18,38,298
336,8,19,34,63
337,22,48,57,318
338,30,60,90,365
339,3,7,7,7
340,29,59,89,363
341,4,4,4,260
342,15,32,47,303
343,0,0,0,0
344,0,0,0,32
345,6,14,27,302
346,10,17,42,315
347,26,56,86,361
348,23,53,83,357
349,30,60,90,365
350,7,23,23,23
351,4,31,41,248
352,17,39,69,344
353,20,50,79,79
354,20,50,80,169
355,10,10,10,17
