price_id,daily_price,weekly_price,monthly_price,cleaning_fee,security_deposit
1,3000.0,,,200.0,2000.0
2,50.0,,,,
3,55.0,,,,
4,150.0,,,35.0,
5,30.0,,,5.0,
6,35.0,,,,
7,45.0,,,5.0,
8,56.0,320.0,999.0,20.0,
9,350.0,,,,
10,80.0,500.0,1800.0,25.0,
11,120.0,,,20.0,100.0
12,55.0,400.0,1100.0,,
13,50.0,250.0,850.0,20.0,100.0
14,60.0,,,20.0,
15,50.0,,,,
16,55.0,450.0,,25.0,100.0
17,80.0,,,18.0,
18,79.0,400.0,1500.0,20.0,
19,100.0,,,45.0,500.0
20,75.0,,3500.0,75.0,300.0
21,59.0,,950.0,25.0,150.0
22,123.0,750.0,2750.0,52.0,95.0
23,32.0,190.0,672.0,,
24,59.0,,,25.0,100.0
25,115.0,735.0,2400.0,50.0,100.0
26,45.0,,,5.0,
27,56.0,295.0,1049.0,,
28,59.0,250.0,850.0,,100.0
29,50.0,,,8.0,100.0
30,70.0,,,,
31,69.0,375.0,1100.0,10.0,
32,56.0,300.0,1050.0,,
33,115.0,,,,
34,60.0,,,8.0,100.0
35,45.0,,,,
36,55.0,,,5.0,
37,69.0,425.0,,,
38,80.0,,,,
39,50.0,450.0,,25.0,100.0
40,97.0,,,50.0,250.0
41,85.0,,,8.0,100.0
42,70.0,,,,
43,65.0,420.0,1250.0,35.0,100.0
44,60.0,399.0,1150.0,30.0,100.0
45,56.0,324.0,1095.0,20.0,
46,39.0,,,10.0,250.0
47,800.0,,,300.0,1500.0
48,50.0,,,40.0,200.0
49,450.0,,,150.0,500.0
50,75.0,395.0,1450.0,90.0,250.0
51,65.0,,,55.0,
52,50.0,,,40.0,
53,270.0,1400.0,5000.0,45.0,
54,67.0,,,33.0,
55,45.0,,,75.0,
56,75.0,,,75.0,150.0
57,129.0,,,75.0,
58,319.0,,,,
59,350.0,,,120.0,1500.0
60,300.0,2100.0,6500.0,150.0,500.0
61,45.0,,,40.0,
62,340.0,1695.0,7200.0,,
63,150.0,1000.0,,100.0,150.0
64,355.0,,,265.0,1500.0
65,250.0,,,150.0,500.0
66,65.0,450.0,,15.0,350.0
67,850.0,,,100.0,3500.0
68,140.0,,,15.0,100.0
69,85.0,500.0,1700.0,,300.0
70,135.0,,,,
71,295.0,,,150.0,500.0
72,987.0,,,,
73,75.0,,,40.0,
74,75.0,,,,
75,87.0,,,,
76,50.0,,,40.0,
77,59.0,,,50.0,150.0
78,349.0,,,,
79,55.0,,,30.0,100.0
80,110.0,,,50.0,200.0
81,85.0,,,,
82,200.0,,,100.0,150.0
83,78.0,475.0,,10.0,
84,62.0,700.0,1850.0,,
85,80.0,500.0,1800.0,35.0,
86,150.0,,,50.0,1000.0
87,75.0,,,,
88,95.0,,,,
89,70.0,395.0,1465.0,75.0,250.0
90,185.0,,,100.0,
91,290.0,,,,
92,105.0,698.0,2500.0,35.0,150.0
93,60.0,700.0,1850.0,,
94,120.0,,,,
95,49.0,,,20.0,100.0
96,49.0,,,7.0,
97,89.0,,,20.0,150.0
98,88.0,525.0,,30.0,100.0
99,62.0,,,10.0,
100,50.0,,,300.0,700.0
101,24.0,,,,
102,35.0,,,,
103,100.0,,,100.0,
104,33.0,400.0,1500.0,,
105,175.0,,,85.0,1000.0
106,33.0,220.0,,,
107,62.0,,,,
108,33.0,220.0,,,
109,90.0,,,,
110,60.0,,,,
111,56.0,,,18.0,
112,65.0,,,50.0,200.0
113,59.0,250.0,1000.0,25.0,95.0
114,35.0,,,,
115,75.0,351.0,1239.0,15.0,
116,87.0,488.0,1600.0,20.0,100.0
117,64.0,,,20.0,
118,130.0,,2000.0,,
119,232.0,,,25.0,
120,420.0,,,,
121,33.0,220.0,,,
122,184.0,,,116.0,300.0
123,60.0,,,,
124,100.0,,,125.0,300.0
125,22.0,,,,
126,70.0,,,,
127,24.0,,,,
128,26.0,,,,
129,217.0,1400.0,5676.0,177.0,545.0
130,60.0,,,,
131,99.0,500.0,1500.0,75.0,500.0
132,200.0,,,,
133,80.0,,,,
134,150.0,,,,
135,130.0,850.0,,45.0,100.0
136,99.0,,,20.0,100.0
137,115.0,749.0,2690.0,35.0,250.0
138,85.0,,,50.0,300.0
139,56.0,268.0,945.0,12.0,100.0
140,45.0,,,30.0,
141,67.0,500.0,1764.0,60.0,
142,90.0,500.0,1500.0,75.0,750.0
143,50.0,,,15.0,150.0
144,24.0,,,,
145,24.0,,,,
146,26.0,,,,
147,25.0,,,,
148,83.0,420.0,,50.0,200.0
149,26.0,,,,
150,100.0,,,25.0,
151,115.0,693.0,2970.0,20.0,
152,318.0,,,149.0,300.0
153,70.0,504.0,,15.0,
154,55.0,320.0,1113.0,15.0,
155,55.0,1113.0,1113.0,15.0,
156,800.0,,,200.0,1500.0
157,65.0,400.0,1500.0,,
158,98.0,625.0,2308.0,25.0,200.0
159,40.0,,,,
160,40.0,,,,
161,80.0,,,,
162,120.0,,,,
163,120.0,,,,
164,69.0,488.0,1600.0,25.0,100.0
165,175.0,495.0,1975.0,75.0,95.0
166,158.0,1013.0,,99.0,285.0
167,33.0,220.0,,,
168,95.0,,,40.0,
169,99.0,715.0,2500.0,99.0,215.0
170,83.0,455.0,,50.0,200.0
171,55.0,,,10.0,150.0
172,85.0,,,50.0,250.0
173,108.0,,,35.0,200.0
174,49.0,,,20.0,
175,1000.0,,,350.0,2500.0
176,120.0,,,100.0,
177,59.0,,,25.0,95.0
178,109.0,,,100.0,300.0
179,54.0,475.0,2000.0,25.0,
180,85.0,500.0,1550.0,75.0,750.0
181,111.0,699.0,2199.0,65.0,
182,33.0,220.0,,,
183,115.0,,,30.0,500.0
184,85.0,,,25.0,
185,25.0,,,,
186,85.0,,,20.0,250.0
187,60.0,,,100.0,
188,110.0,,2500.0,,
189,67.0,,,100.0,
190,55.0,,,25.0,95.0
191,60.0,,,20.0,
192,90.0,,,,
